Sr No.,Date of Encashment,Name of the Political Party,Account no. of Political Party,Denominations,Pay Branch Code,Pay Teller,pkey
1,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-775
2,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-3975
3,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10000000,800,2770121,OC-3967
4,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10418
5,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-126
6,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-116
7,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10466
8,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-122
9,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-158
10,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-108
11,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10446
12,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10434
13,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-162
14,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-128
15,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-113
16,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10423
17,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-110
18,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-131
19,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-164
20,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-118
21,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10449
22,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10417
23,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10426
24,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10420
25,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10443
26,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10452
27,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-160
28,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10408
29,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-120
30,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10464
31,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-124
32,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10440
33,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,1000000,800,2770121,TL-10469
34,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-6646
35,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-6644
36,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5470
37,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5455
38,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5467
39,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5460
40,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5463
41,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5451
42,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5458
43,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5454
44,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5474
45,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5459
46,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5475
47,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5464
48,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5453
49,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5472
50,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5471
51,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5468
52,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5450
53,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5462
54,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5457
55,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,10000000,847,3367975,OC-5466
56,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10876
57,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10877
58,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10885
59,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10856
60,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,1000000,847,3367975,TL-10870
61,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4274
62,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4276
63,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5827
64,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5847
65,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4303
66,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4301
67,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5831
68,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4321
69,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5861
70,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4325
71,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5843
72,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5837
73,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5817
74,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4319
75,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4293
76,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4305
77,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5801
78,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5825
79,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4313
80,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5805
81,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5829
82,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5821
83,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5839
84,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5841
85,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5813
86,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5833
87,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4327
88,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4311
89,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4347
90,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4317
91,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5809
92,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5855
93,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4333
94,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4335
95,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4337
96,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4343
97,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4295
98,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4331
99,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5819
100,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5853
101,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5857
102,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4349
103,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5803
104,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5849
105,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4299
106,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4329
107,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4315
108,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4339
109,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5835
110,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5807
111,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5811
112,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4309
113,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4341
114,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5815
115,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4345
116,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5851
117,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4297
118,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5845
119,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4307
120,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4323
121,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5859
122,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5823
123,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5856
124,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5868
125,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5870
126,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5846
127,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5866
128,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5848
129,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5852
130,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5874
131,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5872
132,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5850
133,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5858
134,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5864
135,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5862
136,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5860
137,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5854
138,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5818
139,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5840
140,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5844
141,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5836
142,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5820
143,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5828
144,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5832
145,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5842
146,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5830
147,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5834
148,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5824
149,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5822
150,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5826
151,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5838
152,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5802
153,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4342
154,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4334
155,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5804
156,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4340
157,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4348
158,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4346
159,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4330
160,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4344
161,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4338
162,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4332
163,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4336
164,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5806
165,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-4350
166,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-6603
167,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5886
168,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5896
169,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5890
170,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5888
171,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-6609
172,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5882
173,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-6607
174,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-6611
175,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5892
176,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5894
177,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-6605
178,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5885
179,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5871
180,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5875
181,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5873
182,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-2588
183,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-2793
184,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-2810
185,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4488
186,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5148
187,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4432
188,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5173
189,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5107
190,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5101
191,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5211
192,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5102
193,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5130
194,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5149
195,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5216
196,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5213
197,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5151
198,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5215
199,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5214
200,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5103
201,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5128
202,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5105
203,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5212
204,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5126
205,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5150
206,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5142
207,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5127
208,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5144
209,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5106
210,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5123
211,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5146
212,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5147
213,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5108
214,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5124
215,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5121
216,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5143
217,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5145
218,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5109
219,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5129
220,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5104
221,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3627829,OC-5192
222,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4433
223,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5110
224,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5122
225,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5125
226,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-740
227,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-742
228,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-744
229,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6217
230,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6221
231,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6233
232,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6241
233,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6247
234,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6214
235,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6238
236,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4592
237,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6203
238,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6231
239,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6227
240,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4574
241,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6207
242,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6211
243,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6243
244,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6225
245,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6245
246,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6230
247,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6204
248,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4582
249,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4584
250,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6222
251,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6232
252,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6246
253,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6248
254,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6206
255,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6210
256,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6228
257,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6242
258,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6215
259,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6216
260,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6236
261,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6202
262,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6249
263,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6218
264,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6224
265,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4585
266,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6229
267,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4575
268,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6223
269,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6250
270,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4594
271,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6201
272,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6205
273,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6208
274,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4561
275,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4595
276,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6220
277,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4583
278,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6212
279,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6219
280,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6239
281,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6234
282,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6235
283,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6244
284,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-4593
285,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6237
286,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-6209
287,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5708
288,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5712
289,2019-04-12,BHARATIYA JANATA PARTY,*******8244,10000000,691,3300196,OC-5717
